metric_name,timestamp,metric_value
Revenue,2018-12-31,28076000000
Revenue,2017-12-31,27237000000
Revenue,2016-12-31,25816000000
Revenue,2015-12-31,23413000000
Revenue,2014-12-31,22290000000
Revenue,2013-12-31,22384000000
Revenue,2012-12-31,21396000000
Revenue,2011-12-31,16279000000
Revenue,2010-12-31,16171000000
Revenue,2009-12-31,12983267000
Revenue,2008-12-31,13892686000
Revenue,2007-12-31,14584068000
Revenue,2006-12-31,12096362000
Revenue,2005-12-31,10038347000
Revenue,2004-12-31,8903135000
Revenue,2003-12-31,8201013000
Revenue,2002-12-31,8185948000
Revenue,2001-12-31,6083283000
Revenue,2000-12-31,4623301000
Revenue,1999-12-31,3424961000
Revenue,1998-12-31,2183065000
Revenue,1997-12-31,1452268000
Revenue,1996-12-31,1203046000